time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
60100,117.0,198.0,0.15,0.33,100.0,0.16,38.0,85.0,39.0,0
60110,117.0,198.0,0.15,0.33,100.0,0.16,26.0,85.0,39.0,0
60120,117.0,198.0,0.15,0.33,100.0,0.16,29.0,85.0,47.0,0
60130,117.0,198.0,0.15,0.33,100.0,0.16,39.0,85.0,47.0,0
60140,117.0,198.0,0.15,0.33,100.0,0.16,27.0,85.0,47.0,0
60150,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,47.0,0
60160,117.0,198.0,0.15,0.33,100.0,0.16,38.0,85.0,47.0,0
60170,117.0,198.0,0.15,0.33,100.0,0.16,29.0,85.0,47.0,0
60180,117.0,198.0,0.15,0.33,100.0,0.16,32.0,85.0,48.0,0
60190,117.0,198.0,0.15,0.33,100.0,0.16,39.0,85.0,48.0,0
60200,117.0,198.0,0.15,0.33,100.0,0.16,30.0,85.0,48.0,0
60210,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,48.0,0
60220,117.0,198.0,0.15,0.33,100.0,0.16,37.0,85.0,48.0,0
60230,117.0,198.0,0.15,0.33,100.0,0.16,30.0,85.0,48.0,0
60240,117.0,198.0,0.15,0.33,100.0,0.16,34.0,85.0,43.0,0
60260,117.0,198.0,0.15,0.33,100.0,0.16,28.0,85.0,43.0,0
60270,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,43.0,0
60280,117.0,198.0,0.15,0.33,100.0,0.16,38.0,85.0,43.0,0
60290,117.0,198.0,0.15,0.33,100.0,0.16,27.0,85.0,43.0,0
60300,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,44.0,0
60310,117.0,198.0,0.15,0.33,100.0,0.16,42.0,85.0,44.0,0
60320,117.0,198.0,0.15,0.33,100.0,0.16,29.0,85.0,44.0,0
60330,117.0,198.0,0.15,0.33,100.0,0.16,35.0,85.0,44.0,0
60340,117.0,198.0,0.15,0.33,100.0,0.16,39.0,85.0,44.0,0
60350,117.0,198.0,0.15,0.33,100.0,0.16,30.0,85.0,44.0,0
60360,117.0,198.0,0.15,0.33,100.0,0.16,32.0,85.0,42.0,0
60370,117.0,198.0,0.15,0.33,100.0,0.16,40.0,85.0,42.0,0
60380,117.0,198.0,0.15,0.33,100.0,0.16,28.0,85.0,42.0,0
60390,117.0,198.0,0.15,0.33,100.0,0.16,29.0,85.0,42.0,0
60400,117.0,198.0,0.15,0.33,100.0,0.16,26.0,85.0,42.0,0
60410,117.0,198.0,0.15,0.33,100.0,0.16,32.0,86.0,42.0,0
60420,117.0,198.0,0.15,0.33,100.0,0.16,36.0,85.0,47.0,0
60430,117.0,198.0,0.15,0.33,100.0,0.16,29.0,86.0,47.0,0
60440,117.0,198.0,0.15,0.33,100.0,0.16,34.0,86.0,47.0,0
60450,117.0,198.0,0.15,0.33,100.0,0.16,41.0,86.0,47.0,0
60460,117.0,198.0,0.15,0.33,100.0,0.16,28.0,86.0,47.0,0
